epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,347.361,1.88298,0.83038,0.82333,0.77949,0.71268,0.78228,0.35872,1.8167,0.77615,0.82731,0.0011882,0.0011882,0.0011882
43,355.125,1.87277,0.83418,0.81855,0.75015,0.68778,0.74522,0.32699,1.89858,0.80363,0.8264,0.0011684,0.0011684,0.0011684
44,363.744,1.86565,0.83073,0.81938,0.80258,0.73475,0.80521,0.3773,1.77747,0.75613,0.82501,0.0011486,0.0011486,0.0011486
45,371.917,1.87811,0.8355,0.82017,0.79519,0.72987,0.7965,0.3786,1.74457,0.73873,0.82504,0.0011288,0.0011288,0.0011288
46,379.826,1.87235,0.8332,0.81679,0.80061,0.73583,0.80236,0.38658,1.71612,0.73171,0.82281,0.001109,0.001109,0.001109
47,387.443,1.89125,0.83261,0.81944,0.79814,0.72742,0.7996,0.37766,1.76247,0.74838,0.82297,0.0010892,0.0010892,0.0010892
48,395.287,1.86927,0.8209,0.81907,0.7874,0.72693,0.79165,0.37012,1.77081,0.7569,0.8229,0.0010694,0.0010694,0.0010694
49,403.136,1.83939,0.81021,0.81512,0.7785,0.72622,0.78492,0.36355,1.78473,0.76032,0.82367,0.0010496,0.0010496,0.0010496
50,410.66,1.81851,0.79118,0.81601,0.78634,0.73462,0.79699,0.36126,1.81727,0.76483,0.82475,0.0010298,0.0010298,0.0010298
51,418.54,1.81799,0.80607,0.81935,0.80833,0.76055,0.82131,0.40155,1.6891,0.72316,0.82065,0.00101,0.00101,0.00101
52,426.349,1.82547,0.79785,0.81886,0.79272,0.71716,0.79031,0.36771,1.80534,0.75284,0.8228,0.0009902,0.0009902,0.0009902
53,434.2,1.82369,0.80141,0.81531,0.78698,0.73255,0.7946,0.37423,1.78062,0.75542,0.82397,0.0009704,0.0009704,0.0009704
54,441.987,1.85815,0.80835,0.81626,0.79879,0.73543,0.80641,0.3927,1.72574,0.73167,0.82085,0.0009506,0.0009506,0.0009506
55,449.715,1.80781,0.7893,0.81346,0.8126,0.75109,0.82014,0.39843,1.7067,0.73497,0.81925,0.0009308,0.0009308,0.0009308
56,457.35,1.82946,0.79918,0.81634,0.81326,0.7483,0.81583,0.39274,1.73466,0.73739,0.82161,0.000911,0.000911,0.000911
57,465.527,1.7597,0.76809,0.81652,0.80356,0.74734,0.81286,0.38856,1.73533,0.73853,0.82022,0.0008912,0.0008912,0.0008912
58,473.817,1.77114,0.76688,0.82087,0.79514,0.73058,0.79789,0.39144,1.72128,0.73268,0.82122,0.0008714,0.0008714,0.0008714
59,481.422,1.81722,0.79357,0.81834,0.7969,0.74035,0.8069,0.38044,1.75347,0.73718,0.82003,0.0008516,0.0008516,0.0008516
60,489.325,1.81117,0.79272,0.81241,0.80291,0.7487,0.81453,0.39716,1.69179,0.72859,0.82013,0.0008318,0.0008318,0.0008318
61,497.334,1.77136,0.76889,0.81466,0.80386,0.74354,0.81448,0.4002,1.69167,0.71805,0.81883,0.000812,0.000812,0.000812
62,505.528,1.79729,0.78908,0.8174,0.79717,0.74018,0.80683,0.39338,1.70297,0.73226,0.81985,0.0007922,0.0007922,0.0007922
63,513.091,1.79276,0.77995,0.81594,0.80954,0.74863,0.81576,0.39762,1.70202,0.73291,0.81767,0.0007724,0.0007724,0.0007724
64,520.949,1.75829,0.77223,0.81331,0.81359,0.76601,0.83189,0.41198,1.67882,0.70663,0.81846,0.0007526,0.0007526,0.0007526
65,529.732,1.76009,0.76196,0.81798,0.82017,0.75641,0.82957,0.41248,1.66953,0.69787,0.81691,0.0007328,0.0007328,0.0007328
66,537.837,1.77019,0.77477,0.8112,0.81485,0.75861,0.82883,0.41804,1.64685,0.69384,0.81654,0.000713,0.000713,0.000713
67,545.647,1.76893,0.76614,0.8099,0.8043,0.73681,0.81124,0.3984,1.71731,0.71547,0.81789,0.0006932,0.0006932,0.0006932
68,553.432,1.77089,0.77109,0.8162,0.8161,0.76715,0.83549,0.41177,1.68764,0.70065,0.81869,0.0006734,0.0006734,0.0006734
69,561.689,1.77793,0.76859,0.81434,0.80012,0.75551,0.82164,0.39796,1.7119,0.72043,0.81929,0.0006536,0.0006536,0.0006536
70,570.238,1.75873,0.75928,0.80966,0.82027,0.76316,0.83774,0.42424,1.63675,0.68759,0.81589,0.0006338,0.0006338,0.0006338
71,578.407,1.72097,0.74544,0.80974,0.80975,0.75469,0.82683,0.40834,1.69026,0.70214,0.81695,0.000614,0.000614,0.000614
72,586.322,1.74757,0.75569,0.8134,0.83475,0.78468,0.85288,0.43318,1.61957,0.67892,0.81455,0.0005942,0.0005942,0.0005942
73,594.211,1.76525,0.76657,0.81111,0.80761,0.74365,0.8177,0.38872,1.73033,0.70862,0.81674,0.0005744,0.0005744,0.0005744
74,602.219,1.74901,0.76023,0.8061,0.80652,0.74915,0.82486,0.41122,1.68592,0.7063,0.81877,0.0005546,0.0005546,0.0005546
75,610.204,1.72476,0.74897,0.81478,0.82719,0.77403,0.84229,0.43314,1.60309,0.67499,0.81437,0.0005348,0.0005348,0.0005348
76,618.346,1.72612,0.74258,0.8105,0.8261,0.78572,0.85073,0.43073,1.62641,0.68702,0.81463,0.000515,0.000515,0.000515
77,626.442,1.71599,0.74388,0.80949,0.8282,0.78711,0.8515,0.43511,1.60585,0.68015,0.81325,0.0004952,0.0004952,0.0004952
78,634.211,1.76542,0.76081,0.80521,0.82046,0.74563,0.82521,0.40158,1.68741,0.70145,0.81497,0.0004754,0.0004754,0.0004754
79,642.629,1.72678,0.74383,0.81073,0.83226,0.7754,0.84639,0.435,1.59896,0.67326,0.81346,0.0004556,0.0004556,0.0004556
80,650.139,1.72092,0.73795,0.80901,0.8216,0.75572,0.8332,0.42449,1.62782,0.68375,0.81348,0.0004358,0.0004358,0.0004358
81,658.429,1.72616,0.745,0.8079,0.83186,0.76476,0.84484,0.42901,1.62042,0.67878,0.8131,0.000416,0.000416,0.000416
82,666.509,1.71685,0.73954,0.81102,0.81975,0.75878,0.83583,0.42368,1.64598,0.68536,0.81399,0.0003962,0.0003962,0.0003962
83,674.349,1.71365,0.7402,0.80746,0.82532,0.77004,0.84513,0.43426,1.60889,0.67541,0.81242,0.0003764,0.0003764,0.0003764
84,682.651,1.74684,0.75288,0.80501,0.82263,0.75892,0.83683,0.42097,1.63308,0.68343,0.81217,0.0003566,0.0003566,0.0003566
85,690.899,1.72367,0.74612,0.80697,0.83288,0.77136,0.846,0.43329,1.60615,0.67503,0.81226,0.0003368,0.0003368,0.0003368
86,699.401,1.7302,0.73777,0.80804,0.82956,0.78583,0.85201,0.42483,1.6455,0.68213,0.8144,0.000317,0.000317,0.000317
87,708.446,1.68608,0.71963,0.80792,0.83076,0.77825,0.84966,0.43819,1.58814,0.66732,0.81165,0.0002972,0.0002972,0.0002972
88,716.502,1.71567,0.73762,0.80707,0.82958,0.77456,0.84827,0.43347,1.60312,0.66954,0.81158,0.0002774,0.0002774,0.0002774
89,724.12,1.6844,0.72055,0.80675,0.83347,0.79202,0.85913,0.44239,1.58428,0.66582,0.81143,0.0002576,0.0002576,0.0002576
90,732.138,1.68281,0.72347,0.80733,0.83242,0.76865,0.84727,0.44095,1.58337,0.6633,0.81091,0.0002378,0.0002378,0.0002378
91,748.735,1.68988,0.78215,0.80995,0.826,0.74718,0.83012,0.42925,1.58898,0.68316,0.81071,0.000218,0.000218,0.000218
92,758.827,1.63871,0.72819,0.8132,0.84141,0.78326,0.85206,0.44347,1.5751,0.6696,0.81024,0.0001982,0.0001982,0.0001982
93,769.432,1.68172,0.75205,0.80695,0.83513,0.7747,0.84598,0.42593,1.62329,0.68779,0.81164,0.0001784,0.0001784,0.0001784
94,778.64,1.67294,0.73866,0.81235,0.82521,0.76608,0.83711,0.42072,1.63274,0.69423,0.8124,0.0001586,0.0001586,0.0001586
95,787.551,1.61063,0.71603,0.8121,0.83615,0.7747,0.84661,0.43297,1.60074,0.68687,0.81083,0.0001388,0.0001388,0.0001388
96,796.243,1.64683,0.71885,0.8079,0.83616,0.76775,0.84259,0.43238,1.59858,0.67901,0.81069,0.000119,0.000119,0.000119
97,804.796,1.61681,0.71145,0.81097,0.83532,0.77564,0.84963,0.43894,1.58248,0.66969,0.81024,9.92e-05,9.92e-05,9.92e-05
98,813.212,1.59051,0.69103,0.8095,0.83728,0.78419,0.85399,0.44051,1.58209,0.66587,0.81003,7.94e-05,7.94e-05,7.94e-05
99,821.808,1.62402,0.70318,0.80813,0.8377,0.78295,0.85488,0.44229,1.57877,0.66263,0.81003,5.96e-05,5.96e-05,5.96e-05
100,829.697,1.61699,0.70243,0.80794,0.83595,0.78319,0.85419,0.44216,1.58027,0.66328,0.8103,3.98e-05,3.98e-05,3.98e-05
